,,"Number of commercial bank branches per 1,000 km2","Number of credit union and credit cooperative branches per 1,000 km2","Number of all microfinance institution branches per 1,000 km2","Number of commercial bank branches per 100,000 adults","Number of credit union and credit cooperative branches per 100,000 adults","Number of all microfinance institution branches per 100,000 adults","Number of ATMs per 1,000 km2","Number of ATMs per 100,000 adults","Mobile money agent outlets: active per 100,000 adults","Mobile money agent outlets: active per 1,000 km2","Number of registered mobile money agent outlets per 100,000 adults","Number of registered mobile money agent outlets per 1,000 km2","Number of non-branch retail agent outlets of commercial banks per 1,000 km2","Number of non-branch retail agent outlets of commercial banks per 100,000 adults","Number of insurance corporations per 100,000 adults","Branches of other deposit takers per 1,000 km2","Branches of other deposit takers per 100,000 adults","Number of depositors with commercial banks per 1,000 adults",Number of small and medium enterprise (SME) depositors with commercial banks (% of non-financial corporation depositors with commercial banks),"Number of household sector depositors with commercial banks per 1,000 adults","Number of male depositors of the household sector with commercial banks per 1,000 male adults","Number of female depositors of the household sector with commercial banks per 1,000 female adults","Number of depositors with credit unions and credit cooperatives per 1,000 adults","Number of deposit accounts with commercial banks per 1,000 adults",Number of small and medium enterprise (SME) deposit accounts with commercial banks (% of non-financial corporation deposit accounts with commercial banks),"Number of household sector deposit accounts with commercial banks per 1,000 adults","Number of men-owned deposit accounts of the household sector with commercial banks per 1,000 male adults","Number of women-owned deposit accounts of the household sector with commercial banks per 1,000 female adults","Number of deposit accounts with credit unions and credit cooperatives per 1,000 adults","Number of borrowers from commercial banks per 1,000 adults",Number of small and medium enterprise (SME) borrowers from commercial banks (% of non-financial corporation borrowers from commercial banks),"Number of household sector borrowers from commercial banks per 1,000 adults","Number of male borrowers of the household sector from commercial banks per 1,000 male adults","Number of female borrowers of the household sector from commercial banks per 1,000 female adults","Number of borrowers from credit unions and credit cooperatives per 1,000 adults","Number of borrowers from all microfinance institutions per 1,000 adults","Number of male borrowers of the household sector from all microfinance institutions per 1,000 male adults","Number of female borrowers of  the household sector from all microfinance institutions per female 1,000 adults","Number of loan accounts with commercial banks per 1,000 adults",Number of small and medium enterprise (SME) loan accounts with commercial banks (% of non-financial corporation loan accounts with commercial banks),"Number of household sector loan accounts with commercial banks per 1,000 adults","Number of men-owned loan accounts of the household sector with commercial banks per 1,000 male adults","Number of women-owned loan accounts of the household sector with commercial banks per 1,000 female adults","Number of loan accounts with credit unions and credit cooperatives per 1,000 adults","Number of loan accounts with all microfinance institutions per 1,000 adults","Number of men-owned loan accounts of the household sector with all microfinance institutions per 1,000 male adults","Number of women-owned loan accounts of the household sector with all microfinance institutions per 1,000 female adults",Outstanding deposits with commercial banks (% of GDP),Outstanding small and medium enterprise (SME) deposits with commercial banks (% of GDP),Outstanding deposits of household sector with commercial banks (% of GDP),Outstanding deposits with credit unions and credit cooperatives (% of GDP),Outstanding loans from commercial banks (% of GDP),Outstanding small and medium enterprise (SME) loans from commercial banks (% of GDP),Outstanding loans from commercial banks to household sector (% of GDP),Outstanding loans from credit unions and credit cooperatives (% of GDP),Outstanding loans from all microfinance institutions (% of GDP),"Number of registered mobile money accounts per 1,000 adults","Number of active mobile money accounts per 1,000 adults",Outstanding balances on active mobile money accounts (% of GDP),"Number of mobile money transactions (during the reference year) per 1,000 adults",Value of mobile money transactions (during the reference year) (% of GDP),"Number of credit cards per 1,000 adults","Number of debit cards per 1,000 adults","Number of mobile and internet banking transactions (during the reference year) per 1,000 adults",Value of mobile and internet banking transactions (during the reference year) (% of GDP),"Number of life insurance policies per 1,000 adults",Policies with insurance corporations: o/w non-life insurance,Average number of mobile money transactions per active mobile money account
,2014,0.54,1.93,1.81,1.98,7.1,6.67,0.97,3.58,35.44,9.63,47.35,12.87,,,0.19,0.02,0.09,66.57,77.59,62.9,,,,72.11,80.26,67.98,,,,20.53,79.74,19.08,,,,,,,34.42,39.49,29.72,,,,,,,14.87,,8.4,,14.37,,3.97,,,281.82,135.54,0.02,697.24,0.45,,,,,34.45,"1,220,357.00",5.14
,2015,0.58,1.93,1.91,2.06,6.91,6.83,1.1,3.94,93.28,26.1,192.32,53.82,,,0.19,0.02,0.08,83.68,56.06,78.39,102.71,54.44,,100.22,56.85,93.79,124.25,63.79,,23.69,70.58,21.11,30.41,11.95,,,,,32.25,79.45,29.46,42.92,16.2,,,,,18.85,2.33,7.89,1.37,15.93,4.4,2.02,1.23,1.09,288.5,165.35,0.03,"1,438.21",1.16,1.89,54.28,189.46,1.53,65.26,"1,194,557.00",8.7
,2016,0.59,2,2.24,2.03,6.94,7.79,1.24,4.29,76.74,22.12,264.58,76.25,,,0.19,0.02,0.08,87.39,52.24,81.54,105.68,57.75,,104.58,57.29,97.98,126.59,69.79,,24.31,63.33,21.52,30.83,12.34,,,,,33.07,77.41,30.35,44.13,16.77,,,,,19,2.39,7.86,1.31,16.34,4.77,2.02,1.18,1.15,281.81,106.54,0.12,"6,168.32",4.5,2.78,62.98,312.84,2.2,71.21,"1,338,913.00",57.9
,2017,0.56,2.2,2.42,1.9,7.41,8.15,1.3,4.37,259.08,76.92,588.28,174.67,,,0.19,0.02,0.08,82.98,50.4,78.14,97.53,59.02,,102.67,52.81,96.73,121.73,72.07,,27.32,68.39,24.62,34.93,14.46,,,,,34.28,75.75,31.54,45.62,17.64,,,,,19.78,2.42,7.83,1.24,15.94,4.57,2.16,0.91,1.37,455.92,247.94,0.26,"21,952.71",16.96,3.33,62.52,327.11,2.4,77.02,"516,425.00",88.54
,2018,0.67,2.23,2.23,2.2,7.27,7.27,1.47,4.81,348.07,106.52,812.33,248.59,,,0.18,0.02,0.08,132.49,70.44,125.61,163.38,88.32,,160.54,70.14,152.55,197.96,107.72,,32.21,82.04,28.9,41.7,16.27,,,,,40.24,78.6,36.42,52.35,19.24,,,,,19.14,2.91,8.17,1.16,15.66,4.72,2.21,0.81,0.98,427.36,346.2,0.42,"39,733.81",30.1,1.78,77.01,467.88,2.77,,,114.77
Canada,2010,0.75,0.45,,24.06,14.54,,6.81,218.22,,,,,,,,0.02,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.35,,,13.15,65.98,,,12.87,,,,,,,,,,,,,
,2011,0.76,0.44,,24.19,13.89,,6.55,207.65,,,,,,,,0.02,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.89,,,13.12,84.65,,,13.04,,,,,,,,,,,,,
,2012,0.78,0.43,,24.31,13.38,,6.5,203.39,,,,,,,,0.02,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.49,,,13.46,87.34,,,13.59,,,,,,,,,,,,,
,2013,0.75,0.41,,23.32,12.76,,7.15,221.01,,,,,,,,0.02,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.07,,,13.48,89.02,,,13.93,,,,,,,,,,,,,
,2014,0.76,0.4,,23.14,12.32,,7.26,221.85,,,,,,,,0.02,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.77,,,13.38,88.49,,,14.08,,,,,,,,,,,,,
,2015,0.75,0.39,,22.84,11.9,,7.31,221.49,,,,,,,,0.02,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.54,,,14.01,94.45,,,14.89,,,,,,,,,,,,,
,2016,0.74,0.38,,22.25,11.34,,7.48,223.89,,,,,,,,0.02,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.79,,,14.59,97.92,,,15.47,,,,,,,,,,,,,
,2017,0.7,0.37,,20.75,10.91,,7.72,228.43,,,,,,,,0.02,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.15,,,14.64,99.43,,,15.68,,,,,,,,,,,,,
,2018,0.69,0.35,,19.99,10.31,,7.54,220.01,,,,,,,,0.02,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.06,,,15.04,101.83,,,16.07,,,,,,,,,,,,,
,2019,0.68,0.32,,19.59,9.07,,7.45,214.14,,,,,,,,0.02,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.73,,,15.4,103.45,,,16.37,,,,,,,,,,,,,
Central African Republic,2010,0.04,,,0.9,,,0.03,0.69,,,,,,,,,,,,23.44,,,,30.71,59.38,26.26,,,,,,6.03,,,,,,,13.44,56.51,11.34,,,,,,,6.98,,3.85,,8.37,,2.89,,,,,,,,,,,,,,
,2011,0.04,,,0.94,,,0.04,0.98,,,,,,,,,,36.91,,27.53,,,,38.42,55.86,32.6,,,,,,6.9,,,,,,,15.62,57.34,13.39,,,,,,,7.38,,5.74,,8.89,,3.8,,,,,,,,,,,,,,
,2012,0.04,,,0.98,,,0.04,0.98,,,,,,,,,,39.02,,29.31,,,,40.4,65.14,34.74,,,,,,8.04,,,,,,,17.7,49.75,15.01,,,,,,,6.84,,4.74,,10.3,,4.47,,,,,,,,,,,,,,
,2013,0.04,,,1.06,,,0.05,1.23,,,,,,,,,,63.64,,,,,,67.37,,,,,,,,,,,,,,,14.75,,,,,,,,,10.3,,8.52,,12.8,,5.12,,,,,,,,,,,,,,
,2014,0.04,,,0.98,,,0.03,0.69,,,,,,,,,,43.15,18.4,33.09,,,,47.81,19.15,37.15,,,,14.43,57.92,8.03,,,,,,,16.74,62.17,9.37,,,,,,,12.19,6.57,4.21,,14.8,8.59,3.35,,,,,,,,,,,,,,
,2015,0.03,,,0.69,,,0.03,0.85,,,,,,,,,,53.48,34.47,47.99,,,,60.85,43.4,56.14,,,,13.42,27.99,6.67,,,,,,,13.8,48.7,7.8,,,,,,,13.22,5.32,5.29,,11.4,5.66,3.14,,,,,,,,,,,,,,
,2016,0.03,,,0.68,,,0.05,1.16,0.12,0,0.12,0,,,,,,56.24,39.19,49.25,,,,62.14,45.03,54.29,,,,20.93,20.34,13.79,,,,,,,23.85,28.13,15.73,,,,,,,12.82,4.05,4.31,,12.18,5.63,3.38,,,0.55,0.17,0,0.77,0.01,,,,,,,4.56
,2017,0.03,,,0.71,,,0.06,1.38,1.18,0.05,1.18,0.05,,,,,,53.62,81.1,49.11,,,,63.36,67.95,56.95,,,,16.01,35.06,12.57,,,,,,,18.63,55.08,14.82,,,,,,,11.87,3.22,4.54,,9.46,5.38,3.06,,,3.63,1.12,0.01,0.87,0.02,,,,,,,0.78
Chad,2010,0.03,,,0.62,,,0.02,0.42,,,,,,,,,,,,,,,,,,7.58,,,,2.19,100,1.85,,,,,,,,,2.37,,,,,,,4.94,,3.18,,4.55,,1.28,,,,,,,,,,,,,,
,2011,0.03,,,0.68,,,0.02,0.47,,,,,,,,,,,,,,,,,,8.06,,,,2.78,100,2.3,,,,,,,,,3.34,,,,,,,5.52,1.33,3.25,,5.01,1.33,1.39,,,,,,,,,,,,,,
,2012,0.03,,,0.65,,,0.02,0.4,,,,,,,,,,,,1.6,,,,,,9.25,,,,3.1,49.97,2.63,,,,,,,,,3.1,,,,,,,6.07,1.56,3.41,,6.73,1.35,1.92,,,,,,,,,,,,,,
,2013,0.05,,,0.88,,,0.02,0.45,,,,,0,0.04,,,,24.61,46.55,18.16,19.01,3.59,,27.25,60.13,20.52,20.71,3.71,,10.22,38.73,8.53,10.17,1.91,,,,,11.88,42.83,10.13,10.62,2.02,,,,,9.76,1.94,2.6,,9.26,2.7,1.5,,,,,,,,0.2,9.65,,,,,
,2014,0.05,,,0.96,,,0.03,0.47,6.61,0.37,25.4,1.43,0,0.04,,,,26.77,62.14,21.31,20.33,3.87,,29.13,60.82,23.12,22.29,4.03,,8.76,58.82,7.28,6.77,1.24,,,,,11.99,68.12,10.59,8.71,1.6,,,,,10.45,2.1,2.89,,9.74,2.59,1.37,,,1.67,0.25,0.01,2.21,0.02,0.18,12.28,,,,,8.96
,2015,0.06,,,0.98,,,0.05,0.86,7.58,0.44,31.64,1.85,0,0.07,,,,29.92,47.53,22.76,20.26,3.83,,32.74,60.37,25.59,22.47,4.08,,10.05,30,6.96,7.23,1.35,,,,,12.15,52.02,10.22,7.49,1.41,,,,,11.28,2.7,2.99,,10.6,2.71,1.83,,,1.83,0.03,0.06,0.46,0.06,0.21,12.28,,,,,14
,2016,0.06,,,1,,,0.07,1.13,4.55,0.28,32.08,1.94,0,0.07,,,,31.3,44.87,23.22,22.35,4.24,,33.75,60.12,26.43,24.92,4.61,,10.29,27.24,6.9,6.33,1.17,,,,,13.42,24.85,9.36,8.24,1.55,,,,,12.07,2.73,3.06,,12.14,3.17,1.67,,,1.99,0.04,0.1,0.78,0.05,0.3,11.47,,,,,19.74
,2017,0.06,,,0.99,,,0.07,1.13,8.06,0.51,24.6,1.54,0,0.06,,,,29.75,50.42,22.69,22.34,4.21,,33.33,56.34,25.52,25.16,4.59,,10.23,23.36,7.02,5.66,1.04,,,,,12.15,33.03,9.24,7.63,1.42,,,,,11.05,3.35,2.81,,11.34,5.05,1.59,,,2.33,0.18,0.04,0.61,1.34,0.54,12.02,,,,,3.37
,2018,0.06,,,0.94,,,0.07,1.15,61.09,3.97,234.7,15.25,0,0.06,,,,42.42,33.79,31.66,21.04,4.2,,46.38,34.9,35.53,23.44,4.28,,11.59,26.63,7.63,8.97,1.32,,,,,12.58,27.56,8.02,6.17,3.68,,,,,10.79,4.11,2.74,,11.35,4.55,1.64,,,168.35,15.39,,,,0.59,12.19,0.11,0,,,
,2019,0.06,,,0.84,,,0.07,1.04,45.52,3.07,225.38,15.18,0,0.06,,,,39.16,53.35,31.96,22.13,4.47,,42.64,31.76,27.7,22.69,4.12,,7.65,53.39,6.08,5.45,0.77,,,,,10.76,65.02,8.68,3.38,3.15,,,,,12.48,3.94,3.03,,10.87,3.9,1.49,,,162.72,14.25,,,,0.37,12.43,0.09,0,,,
Chile,2010,3.1,0.27,,17.36,1.5,,11.03,61.68,,,,,,,0.43,,,,,,,,,"2,106.64",,"2,064.42","2,036.39","2,091.07",75.82,323.96,98.61,264.16,313.79,216.98,33.28,,,,913.9,,777.09,,,45.79,,,,53.98,,10.55,0.48,71.62,7.91,28.23,1.1,,,,,,,367.62,855.55,,,241.8,"9,291,912.00",
,2011,3.13,0.27,,17.26,1.51,,11.73,64.64,,,,,,,0.42,,,,,,,,,"2,254.48",,"2,211.17","2,226.00","2,197.07",82.01,343.38,98.41,279.15,327.1,233.56,34.18,,,,993.24,,836.95,,,52.06,,,,59.12,,12.3,0.5,76.43,8.19,29.57,1.06,,,,,,,421.75,978.99,,,261.48,"10,301,703.00",
,2012,3.16,0.28,,17.18,1.51,,12.42,67.54,,,,,,,0.44,,,,,,,,,"2,343.15",,"2,295.80","2,300.28","2,291.53",87.79,370.58,98.38,301.62,346.28,259.13,34.24,,,,"1,056.83",,883.04,,,60.39,,,,60.42,,13.78,0.49,80.83,8.82,31.15,1.05,,,,,,,466.08,"1,093.51",,,228.83,"10,518,930.00",
,2013,3.17,0.28,,17.02,1.49,,11.91,63.87,,,,,,,0.45,,,,,,,,,"2,425.56",,"2,379.82","2,375.16","2,384.25",89.22,381.29,98.38,307.23,349.64,266.87,35.12,,,,"1,108.62",,908.93,,,49.6,,,,61.51,,14.62,0.47,83.72,8.54,33.11,1.11,,,,,,,474.86,"1,195.34","16,983.43",483.86,323.85,"11,974,460.00",
,2014,3.18,0.27,,16.8,1.44,,10.71,56.63,,,,,,,0.45,,,,,,,,,"2,499.83",,"2,449.18","2,425.36","2,471.84",92.83,415.62,98.48,335,364.89,306.53,34.77,,,,"1,083.69",,877.22,,,48.68,,,,62.36,,14.66,0.47,86.85,9.25,35.44,1.13,,,,,,,712.01,"1,269.96","19,996.74",482.6,348.74,"15,484,903.00",
,2015,3.09,0.27,,16.09,1.39,,10.73,55.88,,,,,,,0.46,,,,,,,,,"2,573.28",,"2,556.14","2,526.70","2,584.17",94.35,445.25,98.56,357.54,375.75,340.19,34.69,,,,"1,051.14",,834.09,,,50.1,,,,62.4,,15.44,0.45,90.81,9.88,37.58,1.1,,,,,,,895.08,"1,402.60","23,841.63",486.47,364.39,"14,422,283.00",
,2016,3.07,0.27,,15.72,1.37,,10.39,53.23,,,,,,,0.45,,,,,,,,,"2,686.06",,"2,628.96","2,583.88","2,671.94",90.58,454.61,98.65,359.85,374.93,345.47,32.82,,,,994.96,,778.33,,,45.95,,,,62.2,,15.98,0.49,91.01,10.22,38.66,1.07,,,,,,,895.42,"1,457.65","28,699.22",537.45,424.28,"14,657,396.00",
,2017,2.94,0.27,,14.8,1.35,,10.25,51.6,,,,,,,0.46,,,,,,,,,"2,760.80",,"2,699.45","2,639.53","2,759.29",98.55,452.69,98.63,359.59,372.22,347.54,32.49,,,,"1,003.15",,792.18,,,55.84,,,,59.98,,16.53,0.47,90.07,10.38,39.83,1.08,,,,,,,875.45,"1,465.27","34,090.04",626.96,476.77,"14,625,231.04",
,2018,2.82,0.27,,13.97,1.32,,10.04,49.69,,,,,,,0.46,,,,,,,,,"2,848.41",,"2,785.09","2,719.40","2,847.89",100.69,555.55,98.61,462.97,472.7,453.68,32.65,,,,"1,033.14",,814.47,,,53.29,,,,60.15,,17.09,0.48,94.67,10.4,42.62,1.1,,,,,,,"1,190.65","1,490.28","43,383.43",674.18,462.33,"16,613,463.00",
,2019,2.68,0.26,,13.05,1.26,,10.18,49.62,,,,,,,0.46,,,,,,,,,"2,948.96",,"2,881.55","2,805.29","2,954.54",107.15,544.4,98.57,453.03,462.87,443.62,32.51,,,,"1,027.40",,808.13,,,50.62,,,,63.6,,17.67,0.52,99.66,10.48,44.99,1.13,,,,,,,"1,125.42","1,419.23","55,425.02",850.26,479.57,"17,155,832.00",
"China,P.R.:Hong Kong",2010,"1,404.76",,,23.84,,,"2,761.90",46.88,,,,,,,2.72,80,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385.28,,,,234.76,,,,,,,,,,"2,497.45",,,,"1,505.54",,
,2011,"1,418.10",,,23.83,,,"2,952.38",49.62,,,,,,,2.61,80.95,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391.21,,,,259.53,,,,,,,,,,"2,638.26",,,,"1,576.34",,
,2012,"1,404.76",,,23.27,,,"2,952.38",48.91,,,,,,,2.45,80,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406.27,,,,270.19,,,,,,,,,,"2,750.96",,,,"1,632.11",,
,2013,"1,386.67",,,22.82,,,"3,047.62",50.15,,,,,,,2.43,80,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427.99,,,,298.57,,,,,,,,,,"2,840.33",,,,"1,684.83",,
,2014,"1,381.90",,,22.56,,,"3,047.62",49.76,,,,,,,2.46,79.05,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444.19,,,,318.35,,,,,,,,,,"2,926.56",,,,"1,734.59",,
,2015,"1,367.62",,,22.17,,,"3,047.62",49.41,,,,,,,2.42,45.71,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446.97,,,,311.06,,,,,,,,,,"2,940.23",,,,"1,809.87",,
,2016,"1,331.43",,,21.46,,,"3,142.86",50.65,,,,,,,2.46,44.76,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469.37,,,,319.38,,,,,,,,,,"2,944.56",,,,"1,893.65",,
,2017,"1,311.43",,,21.04,,,"3,142.86",50.43,,,,,,,2.43,44.76,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477.91,,,,347.87,,,,,,,,,,"2,884.70",,,,"1,982.82",,
,2018,"1,324.76",,,21.19,,,"3,238.10",51.8,,,,,,,2.45,44.76,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470.55,,,,340.36,,,,,,,,,,"2,964.54",,,,"2,081.61",,
,2019,"1,315.24",,,20.98,,,"3,333.33",53.18,,,,,,,2.48,46.67,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479.04,,,,359.46,,,,,,,,,,"2,994.23",,,,,,
"China,P.R.:Macao",2010,"5,690.24",,,36.08,,,"21,986.53",139.4,,,,,,,4.91,235.69,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.41,,,,57.9,11.08,27.05,,,,,,,,920.94,,,,747.53,"331,698.00",
,2011,"5,886.29",,,36.62,,,"24,648.83",153.36,,,,,,,4.79,267.56,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.88,,,,56.89,11.43,26.87,,,,,,,,"1,159.96",,,,774.76,"373,321.00",
,2012,"5,986.62",,,36.3,,,"28,963.21",175.64,,,,,,,4.66,267.56,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.66,,,,57.67,9.27,29.71,,,,,,,,"1,316.02",,,,808.96,"377,026.00",
,2013,"6,138.61",,,36.81,,,"35,676.57",213.94,,,,,,,4.55,264.03,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.92,,,,62.41,9.81,34.97,,,,,,,,"1,493.11",,,,848.45,"393,138.00",
,2014,"6,402.64",,,37.57,,,"37,425.74",219.58,,,,,,,4.45,264.03,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.69,,,,76.65,13.57,43.1,,,,,,,,"1,608.70",,,,899.82,"423,660.00",
,2015,"6,546.05",,,37.82,,,"42,730.26",246.9,,,,,,,4.18,296.05,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.06,,,,107.36,18.43,57.59,,,,,,,,"1,744.00",,,,964.17,"466,522.00",
,2016,"6,578.95",,,37.48,,,"49,572.37",282.42,,,,,,,4.31,328.95,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.83,,,,116.43,19.22,63.66,,,,,,,,"1,970.10",,,,"1,126.62","458,912.00",
,2017,"6,907.89",,,38.9,,,"55,625.00",313.2,,,,,,,4.45,328.95,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.38,,,,112.48,19.01,59.85,,,,,,,,"2,198.94",,,,"1,162.48","462,835.00",
,2018,"7,072.37",,,39.42,,,"58,157.90",324.17,,,,,,,4.4,328.95,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.74,,,,113.54,20.41,61.99,,,,,,,,"2,404.89",,,,"1,257.50","469,717.00",
,2019,"7,269.74",,,40.13,,,"58,453.95",322.7,,,,,,,4.54,296.05,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.08,,,,119.15,21.74,70.85,,,,,,,,"2,592.01",,,,"1,366.62","491,905.00",
"China,P.R.: Mainland",2010,,,,,,,28.87,24.91,,,,,,,0.01,,,10.35,,,,,2.5,18,,,,,3.67,,,,,,,,,,,,,,,,,,,137.27,,,15.42,87.77,30.47,,10.48,,,,,,,,"2,009.03",,,,,
,2011,,,,,,,35.55,30.47,,,,,,,0.01,,,11.82,,,,,2.53,20.32,,,,,3.73,,,,,,,,,,,,,,,,,,,131.46,,,14.04,84.07,31.84,,9.36,,,,,,,,"2,432.14",,,,,
,2012,9.11,6.51,,7.76,5.54,,44.26,37.69,,,,,,,0.01,6.08,5.18,13.3,,,,,2.87,22.77,,,,,4.12,272.99,,269.37,,,,,,,,,850.73,,,,,,,135.25,,,13.16,86.98,35.09,,8.57,,,,,,,,"2,905.01",,,,,
,2013,9.26,5.77,,7.83,4.88,,55.39,46.86,,,,,,,0.02,6.81,5.76,15,,,,,3.04,25.37,,,,,4.31,293.33,,289.24,,,,,,,,,959.64,,,,,,,137.17,,,12.77,88.79,35.12,,8.16,,,,,,,,"3,444.79",,,,,
,2014,9.59,5.18,,8.06,4.36,,65.49,55.05,,,,,,,0.02,7.6,6.39,17.05,,,,,3.37,28.17,,,,,4.71,318.03,,313.38,,,,,,,,,"1,135.32",,,,,,,135.77,,,11.61,91.3,36.29,,7.48,,,,,,,,"4,012.11",,,,,
,2015,10.21,4.59,,8.53,3.84,,92.32,77.13,,,,,,,0.02,8.37,6.99,19.33,,,,,3.59,30.97,,,,,4.95,345.99,,340.85,,,,,,,,,"1,330.47",,,,,,,154.49,,,10.21,97.9,36.62,,6.53,,,,,,,,"4,458.64",,,,,
,2016,10.61,3.65,,8.81,3.03,,98.44,81.74,,,,,,,0.02,9.46,7.85,22.25,,,,,4.06,34.17,,,,,5.42,385.08,,379.45,,,,,,,,,"1,634.56",,,,,,,156.65,,,8.24,100.93,36,,5.15,,,,,,,,"5,006.28",,,,,
,2017,10.68,2.65,,8.81,2.19,,102.32,84.43,,,,,,,0.02,10.09,8.33,25.55,,,,,4.56,37.59,,,,,5.91,427.96,,421.9,,,,,,,,,,,,,,,,149.97,,,6.77,100.8,36,,4.24,,,,,,,516.46,"5,366.04",,,824.86,"228,590,500.00",
,2018,10.81,2.37,,8.88,1.94,,118.32,97.12,,,,,,,0.02,10.65,8.75,29.18,,,,,7.89,"6,504.59",86.48,"6,462.76",,,"1,172.94",470.93,,463.39,,,,,,,,,,,,,,,,144.28,,,5.35,103.55,35.56,,3.48,,,,,,,599.78,"6,042.40",,,965.63,"1,133,400,539.00",
,2019,10.84,2.08,,8.86,1.7,,116.92,95.55,,,,,,,0.02,11,8.99,33.21,,,,,8.65,"7,025.20",86.62,"6,978.35",,,"1,296.78",504.9,,496.14,,,,,,,"1,868.81",,"1,868.81",,,,,,,145.72,,,4.53,108.4,36.94,,2.99,,,,,,,649.34,"6,678.80",,,"1,052.86","1,103,108,727.00",
Colombia,2010,4.09,0.23,,13.79,0.78,,10.36,34.95,,,,,8.61,29.05,0.13,0.42,1.42,"1,036.72",,999.74,,,24.65,"1,186.43",,"1,138.95",,,26.48,169.68,,140.71,,,9.33,,,,397.3,57.36,336.07,,,35.11,,,,28.96,,7.35,0.37,29.24,0.73,9.75,0.62,,,,,,,250.54,459.13,"22,845.79",227.4,101.85,"22,500,000.00",
,2011,4.46,0.17,,14.76,0.57,,9.81,32.51,,,,,17.49,57.94,0.13,0.46,1.53,"1,098.49",,"1,062.00",,,21.12,"1,257.92",,"1,211.04",,,22.49,188.15,,151.79,,,6.34,,,,461.02,64.19,388.78,,,7.19,,,,30.62,,6.95,0.24,32.28,0.89,11.58,0.34,,,,,,,286.23,492.83,"25,145.06",218.56,114.03,"26,190,000.00",
,2012,4.62,0.19,,15.05,0.61,,11.07,36.05,,,,,30.12,98.11,0.13,0.64,2.08,"1,165.64",,"1,126.37",,,21.84,"1,341.75",,"1,288.30",,,23.1,201.89,,162.82,,,6.87,,,,477.41,64.82,398.9,,,7.83,,,,33.55,,7.31,0.26,34.66,1,12.79,0.38,,,,,,,318.34,521.96,"28,899.31",226.33,128.69,"50,169,722.00",
,2013,4.89,0.2,,15.66,0.63,,12.33,39.52,,,,,40.56,129.99,0.13,0.65,2.08,"1,216.45",,"1,175.02",,,21.33,"1,402.49",,"1,349.45",,,22.59,213.31,,173.16,,,7.04,,,,500.14,65.03,415.93,,,8.05,,,,36.16,,7.74,0.25,36.82,1.1,13.77,0.33,,,,,,,340.53,543,"35,865.68",256.33,141.31,"72,063,608.00",
,2014,4.97,0.17,,15.65,0.54,,13,40.97,,,,,77.16,243.14,0.12,0.58,1.83,"1,297.35",,"1,240.16",,,21.13,"1,500.91",,"1,431.06",,,22.33,220.59,,180.15,,,6.45,,,,532.83,63.17,444.63,,,7.37,,,,37.27,,8.19,0.2,39.84,1.12,14.74,0.26,,,,,,,360.26,592.73,"42,479.89",245.9,171.95,"84,769,461.00",
,2015,5.24,0.17,,16.2,0.54,,13.35,41.31,,,,,79.58,246.18,0.13,0.5,1.55,"1,375.52",,"1,329.76",,,22.16,"1,600.70",,"1,542.60",,,23.42,234.81,,187.2,,,6.68,,,,551.22,68.97,448.82,,,7.7,,,,39.32,,9.43,0.21,43.68,1.28,17.02,0.29,,,,,,,383.46,627.76,"56,830.04",280.18,198.58,"95,878,324.00",
